raw_material,submitted_taxon,wd_taxon_id,organ,broad_organ,tissue,subsystem
V114240GP-01,Bauhinia bracteata,Q13026477,leaves,photosynthetic,green_tissue,aboveground
V114237GP-01,Azima tetracantha,Q4832599,multiple,multiple,multiple,aboveground
V114207GP-01,Xerosicyos danguyi,Q17429672,leaves,photosynthetic,green_tissue,aboveground
V114208GP-01,Xerosicyos perrieri,Q17429669,leaves,photosynthetic,green_tissue,aboveground
V114244GP-01,Boerhavia diffusa,Q311457,multiple,multiple,multiple,aboveground
V114276GP-01,Cerbera manghas,Q714955,fruits,reproductive,green_tissue,aboveground
V114260GP-01,Cananga brandisiana,Q17133513,multiple,roots,root_tissue,belowground
V114223GP-01,Allophylus cobbe,Q4733116,leaves,photosynthetic,green_tissue,aboveground
V114255GP-01,Butea superba,Q1759047,green_stems,green_vegetative,green_tissue,aboveground
V114269GP-01,Senna garrettiana,Q15536814,leaves,photosynthetic,green_tissue,aboveground
V114222GP-01,Albizia myriophylla,Q15493169,bark,woody_vegetative,woody_tissue,aboveground
V114279GP-01,Cissus repanda,Q8346465,leaves,photosynthetic,green_tissue,aboveground
V114215GP-01,Zingiber zerumbet,Q60980,multiple,multiple,multiple,unkown
V114241GP-01,Bauhinia bracteata,Q13026477,green_stems,green_vegetative,green_tissue,aboveground
V114271GP-01,Cassia grandis,Q164094,leaves,photosynthetic,green_tissue,aboveground
V114206GP-01,Xerophyta dasylirioides,Q15556031,green_stems,green_vegetative,green_tissue,aboveground
V114283GP-01,Colona auriculata,Q15362596,leaves,photosynthetic,green_tissue,aboveground
V114224GP-01,Allophylus cobbe,Q4733116,green_stems,green_vegetative,green_tissue,aboveground
V114232GP-01,Artocarpus nitidus,Q15470728,bark,woody_vegetative,woody_tissue,aboveground
V114227GP-01,Ampelocissus arachnoidea,Q15558429,multiple,roots,root_tissue,belowground
V114204GP-01,Vepris macrophylla,Q15394395,green_stems,green_vegetative,green_tissue,aboveground
V114209GP-01,Xerosicyos pubescens,Q17429668,leaves,photosynthetic,green_tissue,aboveground
V114258GP-01,Calamus salicifolius,Q15462027,multiple,multiple,multiple,aboveground
V114230GP-01,Aristolochia acuminata,Q15297667,multiple,multiple,multiple,aboveground
V114280GP-01,Cleistanthus tomentosus,Q15247717,green_stems,green_vegetative,green_tissue,aboveground
V114273GP-01,Cassia javanica,Q164110,fruits,reproductive,green_tissue,aboveground
V114247GP-01,Breynia vitis-idaea,Q154969,green_stems,green_vegetative,green_tissue,aboveground
V114221GP-01,Acanthus ilicifolius,Q1021004,multiple,multiple,multiple,aboveground
V114202GP-01,Vepris lepidota,Q18079709,green_stems,green_vegetative,green_tissue,aboveground
V114238GP-01,Azima tetracantha,Q4832599,green_stems,green_vegetative,green_tissue,aboveground
V114234GP-01,Atalantia citroides,Q15388338,bark,woody_vegetative,woody_tissue,aboveground
V114282GP-01,Clerodendrum palmatolobatum,Q15381462,multiple,multiple,multiple,aboveground
V114210GP-01,Zanthoxylum decaryi,Q18082569,bark,woody_vegetative,woody_tissue,aboveground
V114245GP-01,Bombax ceiba,Q13399160,bark,woody_vegetative,woody_tissue,aboveground
V114262GP-01,Canarium luzonicum,Q5157337,leaves,photosynthetic,green_tissue,aboveground
V114220GP-01,Ziziphus mauritiana,Q327859,green_stems,green_vegetative,green_tissue,aboveground
V114248GP-01,Breynia vitis-idaea,Q154969,leaves,photosynthetic,green_tissue,aboveground
V114272GP-01,Cassia grandis,Q164094,green_stems,green_vegetative,green_tissue,aboveground
V114281GP-01,Cleistanthus tomentosus,Q15247717,leaves,photosynthetic,green_tissue,aboveground
V114266GP-01,Careya arborea,Q2718249,bark,woody_vegetative,woody_tissue,aboveground
V114251GP-01,Mangifera altissima,Q15539322,leaves,photosynthetic,green_tissue,aboveground
V114228GP-01,Antidesma ghaesembilla,Q11084666,leaves,photosynthetic,green_tissue,aboveground
V114278GP-01,Cissus repanda,Q8346465,green_stems,green_vegetative,green_tissue,aboveground
V114213GP-01,Zanthoxylum decaryi,Q18082569,green_stems,green_vegetative,green_tissue,aboveground
V114275GP-01,Cerbera manghas,Q714955,green_stems,green_vegetative,green_tissue,aboveground
V114253GP-01,Butea monosperma,Q942203,bark,woody_vegetative,woody_tissue,aboveground
V114261GP-01,Cananga brandisiana,Q17133513,bark,woody_vegetative,woody_tissue,aboveground
V114254GP-01,Butea superba,Q1759047,leaves,photosynthetic,green_tissue,aboveground
V114231GP-01,Artocarpus nitidus,Q15470728,leaves,photosynthetic,green_tissue,aboveground
V114270GP-01,Senna garrettiana,Q15536814,green_stems,green_vegetative,green_tissue,aboveground
V114212GP-01,Zanthoxylum decaryi,Q18082569,multiple,roots,root_tissue,belowground
V114225GP-01,Ampelocissus arachnoidea,Q15558429,leaves,photosynthetic,green_tissue,aboveground
V114257GP-01,Caesalpinia pulcherrima,Q1428973,green_stems,green_vegetative,green_tissue,aboveground
V114246GP-01,Borassus flabellifer,Q500857,flowers,reproductive,green_tissue,aboveground
V114205GP-01,Xerophyta dasylirioides,Q15556031,leaves,photosynthetic,green_tissue,aboveground
V114264GP-01,Canarium luzonicum,Q5157337,fruits,reproductive,green_tissue,aboveground
V114265GP-01,Careya arborea,Q2718249,leaves,photosynthetic,green_tissue,aboveground
V114259GP-01,Calamus salicifolius,Q15462027,multiple,roots,root_tissue,belowground
V114250GP-01,Bruguiera cylindrica,Q4978700,leaves,photosynthetic,green_tissue,aboveground
V114274GP-01,Cayratia trifolia,Q90431456,green_stems,green_vegetative,green_tissue,aboveground
V114214GP-01,Zingiber officinale,Q35625,multiple,roots,root_tissue,belowground
V114249GP-01,Bruguiera cylindrica,Q4978700,green_stems,green_vegetative,green_tissue,aboveground
